,Ticker,Name
491,WHIRLPOOL,Whirlpool of India Ltd.
492,WIPRO,Wipro Ltd.
493,YESBANK,Yes Bank Ltd.
494,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.
495,ZEEL,Zee Entertainment Enterprises Ltd.
496,ZENSARTECH,Zensar Technolgies Ltd.
497,ZOMATO,Zomato Ltd.
498,ZYDUSLIFE,Zydus Lifesciences Ltd.
499,ZYDUSWELL,Zydus Wellness Ltd.
500,ECLERX,eClerx Services Ltd.
